#YY  MM DD hh mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
#yr  mo dy hr mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,nmi,hPa,ft
2019 04 11 00 06,60,8.8,9.8,MM,MM,MM,MM,1018.7,24.6,26.2,MM,MM,MM,MM
2019 04 11 00 12,60,8.2 1,0.3,MM,MM,MM,MM,1018.7,24.5,26.2,MM,MM,MM,MM
2019 04 11 00 18,70,6.7 1,0.3,MM,MM,MM,MM,1018.7,24.7,26.2,MM,MM,MM,MM
2019 04 11 00 24,60,8.2 1,0.3,MM,MM,MM,MM,1018.6,24.5,26.2,MM,MM,MM,MM
2019 04 11 00 30,80,6.2,9.3,MM,MM,MM,MM,1018.6,24.7,26.2,MM,MM,MM,MM
2019 04 11 00 36,70,7.2,8.8,MM,MM,MM,MM,1018.6,24.5,26.2,MM,MM,MM,MM
2019 04 11 00 42,80,6.7 1,0.3,MM,MM,MM,MM,1018.5,24.3,26.2,MM,MM,MM,MM
2019 04 11 00 48,60,6.7,9.3,MM,MM,MM,MM,1018.4,24.6,26.2,MM,MM,MM,MM
2019 04 11 00 54,70,6.7,9.8,MM,MM,MM,MM,1018.4,24.6,26.2,MM,MM,MM,MM
2019 04 11 01 00,60,6.7,8.2,MM,MM,MM,MM,1018.3,24.5,26.2,MM,MM,-2.3,MM
2019 04 11 01 06,60,6.2,9.3,MM,MM,MM,MM,1018.3,24.4,26.2,MM,MM,MM,MM
2019 04 11 01 12,60,6.2,9.3,MM,MM,MM,MM,1018.3,24.7,26.2,MM,MM,MM,MM
2019 04 11 01 18,70,7.7,8.8,MM,MM,MM,MM,1018.2,24.6,26.2,MM,MM,MM,MM
2019 04 11 01 24,50,8.2,9.3,MM,MM,MM,MM,1018.2,24.3,26.2,MM,MM,MM,MM
2019 04 11 01 30,60,7.2,9.3,MM,MM,MM,MM,1018.1,24.5,26.2,MM,MM,MM,MM
2019 04 11 01 36,70,6.7,8.2,MM,MM,MM,MM,1018.1,24.7,26.2,MM,MM,MM,MM
2019 04 11 01 42,60,7.7,8.8,MM,MM,MM,MM,1018,24.5,26.2,MM,MM,MM,MM
2019 04 11 01 48,70,6.2,8.8,MM,MM,MM,MM,1018,24.4,26.2,MM,MM,MM,MM
2019 04 11 01 54,60,7.2,8.8,MM,MM,MM,MM,1018,24.6,26.2,MM,MM,MM,MM
2019 04 11 02 00,50,7.2,8.8,MM,MM,MM,MM,1018,24.4,26.2,MM,MM,-1.7,MM
2019 04 11 02 06,50,6.7,8.8,MM,MM,MM,MM,1018,24.5,26.2,MM,MM,MM,MM
2019 04 11 02 12,60,7.2,9.3,MM,MM,MM,MM,1017.9,24.6,26.2,MM,MM,MM,MM
2019 04 11 02 18,60,7.2,9.3,MM,MM,MM,MM,1018,24.6,26.2,MM,MM,MM,MM
2019 04 11 02 24,60,7.7,9.3,MM,MM,MM,MM,1018,24.7,26.2,MM,MM,MM,MM
2019 04 11 02 30,50,7.2,8.8,MM,MM,MM,MM,1018.1,24.7,26.2,MM,MM,MM,MM
2019 04 11 02 36,60,6.2,9.3,MM,MM,MM,MM,1018.1,24.7,26.2,MM,MM,MM,MM
2019 04 11 02 42,60,7.2,9.3,MM,MM,MM,MM,1018.2,24.4,26.2,MM,MM,MM,MM
2019 04 11 02 48,60,7.7 1,0.3,MM,MM,MM,MM,1018.3,24.5,26.2,MM,MM,MM,MM
2019 04 11 02 54,60,6.7,9.8,MM,MM,MM,MM,1018.3,24.5,26.2,MM,MM,MM,MM
2019 04 11 03 00,70,6.7,9.3,MM,MM,MM,MM,1018.3,24.5,26.2,MM,MM,-0.6,MM
2019 04 11 03 06,70,6.7,8.8,MM,MM,MM,MM,1018.4,24.7,26.2,MM,MM,MM,MM
2019 04 11 03 12,60,6.7,8.8,MM,MM,MM,MM,1018.4,24.6,26.2,MM,MM,MM,MM
2019 04 11 03 18,70,6.7,9.3,MM,MM,MM,MM,1018.5,24.5,26.2,MM,MM,MM,MM
2019 04 11 03 24,70,7.2,8.2,MM,MM,MM,MM,1018.5,24.4,26.2,MM,MM,MM,MM
2019 04 11 03 30,60,6.7,9.3,MM,MM,MM,MM,1018.6,24.5,26.2,MM,MM,MM,MM
2019 04 11 03 36,60,6.7,8.8,MM,MM,MM,MM,1018.6,24.3,26.2,MM,MM,MM,MM
2019 04 11 03 42,70,7.7,8.8,MM,MM,MM,MM,1018.7,24.1,26.2,MM,MM,MM,MM
2019 04 11 03 48,60,6.2,8.2,MM,MM,MM,MM,1018.7,24.3,26.2,MM,MM,MM,MM
2019 04 11 03 54,60,6.2,8.2,MM,MM,MM,MM,1018.8,24.2,26.2,MM,MM,MM,MM
2019 04 11 04 00,70,6.2,8.8,MM,MM,MM,MM,1018.8,24.1,26.2,MM,MM,0.5,MM
2019 04 11 04 06,60,6.2,8.8,MM,MM,MM,MM,1018.9,24.1,26.2,MM,MM,MM,MM
2019 04 11 04 12,50,7.2,7.7,MM,MM,MM,MM,1018.9,24.1,26.2,MM,MM,MM,MM
2019 04 11 04 18,60,7.2,8.8,MM,MM,MM,MM,1018.9,24.2,26.2,MM,MM,MM,MM
2019 04 11 04 24,60,6.7,8.8,MM,MM,MM,MM,1019,24.3,26.2,MM,MM,MM,MM
2019 04 11 04 30,60,6.7,7.7,MM,MM,MM,MM,1019,24.2,26.2,MM,MM,MM,MM
2019 04 11 04 36,60,8.8,9.8,MM,MM,MM,MM,1019,24.1,26.1,MM,MM,MM,MM
2019 04 11 04 42,70,7.2,9.3,MM,MM,MM,MM,1019.1,24.1,26.1,MM,MM,MM,MM
2019 04 11 04 48,60,6.2,8.8,MM,MM,MM,MM,1019.3,24.3,26.1,MM,MM,MM,MM
2019 04 11 04 54,60,5.7,7.7,MM,MM,MM,MM,1019.4,24.2,26.1,MM,MM,MM,MM
2019 04 11 05 00,70,6.2,8.8,MM,MM,MM,MM,1019.4,24.1,26.1,MM,MM,1.4,MM
2019 04 11 05 06,70,7.2,9.8,MM,MM,MM,MM,1019.4,24.1,26.1,MM,MM,MM,MM
2019 04 11 05 12,80,7.2,8.2,MM,MM,MM,MM,1019.5,24.2,26.1,MM,MM,MM,MM
2019 04 11 05 18,70,6.2,8.2,MM,MM,MM,MM,1019.5,24.4,26.1,MM,MM,MM,MM
2019 04 11 05 24,60,9.3 1,2.4,MM,MM,MM,MM,1019.6,24.2,26.1,MM,MM,MM,MM
2019 04 11 05 30,70,8.8 1,1.3,MM,MM,MM,MM,1019.7,24,26.1,MM,MM,MM,MM
2019 04 11 05 36,70,9.3 1,1.3,MM,MM,MM,MM,1019.8,24,26.1,MM,MM,MM,MM
2019 04 11 05 42,70,7.2 1,0.3,MM,MM,MM,MM,1020,23.9,26,MM,MM,MM,MM
2019 04 11 05 48,80,6.2,9.8,MM,MM,MM,MM,1020.1,24,26,MM,MM,MM,MM
2019 04 11 05 54,80,6.7,9.3,MM,MM,MM,MM,1020,24.2,26,MM,MM,MM,MM
2019 04 11 06 00,80,7.2,9.3,MM,MM,MM,MM,1020.1,24.1,26,MM,MM,1.8,MM
2019 04 11 06 06,70,6.2,7.7,MM,MM,MM,MM,1020.2,24.1,26,MM,MM,MM,MM
2019 04 11 06 12,70,5.1,7.2,MM,MM,MM,MM,1020.3,24.2,26,MM,MM,MM,MM
2019 04 11 06 18,70,5.1,7.2,MM,MM,MM,MM,1020.4,24.2,26,MM,MM,MM,MM
2019 04 11 06 24,70,5.1,6.7,MM,MM,MM,MM,1020.5,24,26,MM,MM,MM,MM
2019 04 11 06 30,70,5.7,7.2,MM,MM,MM,MM,1020.5,24,26,MM,MM,MM,MM
2019 04 11 06 36,80,7.2,8.8,MM,MM,MM,MM,1020.6,24,26,MM,MM,MM,MM
2019 04 11 06 42,70,5.1,6.7,MM,MM,MM,MM,1020.7,24.1,26,MM,MM,MM,MM
2019 04 11 06 48,70,4.6,6.7,MM,MM,MM,MM,1020.8,24.1,26,MM,MM,MM,MM
2019 04 11 06 54,70,6.7,8.8,MM,MM,MM,MM,1020.8,24.2,26,MM,MM,MM,MM
2019 04 11 07 00,80,8.2 1,0.8,MM,MM,MM,MM,1020.9,24.1,26,MM,MM,2.1,MM
2019 04 11 07 06,80,6.2,9.8,MM,MM,MM,MM,1021,24.2,26,MM,MM,MM,MM
2019 04 11 07 12,70,5.7,7.7,MM,MM,MM,MM,1021,24.2,26,MM,MM,MM,MM
2019 04 11 07 18,60,5.1,7.2,MM,MM,MM,MM,1021,24.4,26,MM,MM,MM,MM
2019 04 11 07 24,70,7.2,9.3,MM,MM,MM,MM,1021,24.1,26,MM,MM,MM,MM
2019 04 11 07 30,70,8.2 1,0.3,MM,MM,MM,MM,1021,24.2,26,MM,MM,MM,MM
2019 04 11 07 36,70,5.7,9.8,MM,MM,MM,MM,1021.1,24.4,26,MM,MM,MM,MM
2019 04 11 07 42,70,6.7,9.3,MM,MM,MM,MM,1021.2,24.3,26,MM,MM,MM,MM
2019 04 11 07 48,70,7.7 1,0.3,MM,MM,MM,MM,1021.4,24.2,26,MM,MM,MM,MM
2019 04 11 07 54,70,6.7,9.3,MM,MM,MM,MM,1021.4,24.1,26,MM,MM,MM,MM
2019 04 11 08 00,80,6.7,9.8,MM,MM,MM,MM,1021.5,24.4,26,MM,MM,2.1,MM
2019 04 11 08 06,70,6.2,7.7,MM,MM,MM,MM,1021.5,24.3,26,MM,MM,MM,MM
2019 04 11 08 12,70,5.7,7.2,MM,MM,MM,MM,1021.5,24.2,26,MM,MM,MM,MM
2019 04 11 08 18,80,7.7 1,0.3,MM,MM,MM,MM,1021.5,24.1,26,MM,MM,MM,MM
2019 04 11 08 24,70,6.7,8.8,MM,MM,MM,MM,1021.5,24.3,26,MM,MM,MM,MM
2019 04 11 08 30,90,4.1,8.8,MM,MM,MM,MM,1021.4,24.4,26,MM,MM,MM,MM
2019 04 11 08 36,50,8.2 1,2.4,MM,MM,MM,MM,1021.4,23.3,26,MM,MM,MM,MM
2019 04 11 08 42,70,5.7,7.7,MM,MM,MM,MM,1021.5,23.4,26,MM,MM,MM,MM
2019 04 11 08 48,70,6.2,8.2,MM,MM,MM,MM,1021.5,23.6,26,MM,MM,MM,MM
2019 04 11 08 54,70,4.6,7.7,MM,MM,MM,MM,1021.5,24,26,MM,MM,MM,MM
2019 04 11 09 00,80,6.2,7.7,MM,MM,MM,MM,1021.5,23.9,26,MM,MM,1.4,MM
2019 04 11 09 06,70,7.2,8.8,MM,MM,MM,MM,1021.5,24.2,26,MM,MM,MM,MM
2019 04 11 09 12,70,7.2,9.3,MM,MM,MM,MM,1021.4,24.1,26,MM,MM,MM,MM
2019 04 11 09 18,80,5.7,7.2,MM,MM,MM,MM,1021.4,24.1,26,MM,MM,MM,MM
2019 04 11 09 24,70,6.2,8.8,MM,MM,MM,MM,1021.3,24.2,26,MM,MM,MM,MM
2019 04 11 09 30,70,6.2,9.8,MM,MM,MM,MM,1021.3,24.2,26,MM,MM,MM,MM
2019 04 11 09 36,70,6.7,8.8,MM,MM,MM,MM,1021.2,24.2,26,MM,MM,MM,MM
2019 04 11 09 42,70,6.2,7.7,MM,MM,MM,MM,1021.2,24.2,25.9,MM,MM,MM,MM
2019 04 11 09 48,70,7.7,9.3,MM,MM,MM,MM,1021.1,24,25.9,MM,MM,MM,MM
2019 04 11 09 54,70,7.7,9.3,MM,MM,MM,MM,1021.1,24,25.9,MM,MM,MM,MM
2019 04 11 10 00,60,4.6,9.3,MM,MM,MM,MM,1021,24,25.9,MM,MM,0,MM
2019 04 11 10 06,60,7.7,9.8,MM,MM,MM,MM,1020.8,24,25.9,MM,MM,MM,MM
2019 04 11 10 12,60,7.2,9.3,MM,MM,MM,MM,1020.7,23.9,25.9,MM,MM,MM,MM
2019 04 11 10 18,60,8.8 1,0.8,MM,MM,MM,MM,1020.8,24,25.9,MM,MM,MM,MM
2019 04 11 10 24,70,8.2,9.8,MM,MM,MM,MM,1020.8,23.9,25.9,MM,MM,MM,MM
2019 04 11 10 30,70,8.8 1,0.8,MM,MM,MM,MM,1020.7,24,25.9,MM,MM,MM,MM
2019 04 11 10 36,70,7.2,9.8,MM,MM,MM,MM,1020.7,23.8,25.9,MM,MM,MM,MM
2019 04 11 10 42,70,8.2 1,1.3,MM,MM,MM,MM,1020.6,24,25.9,MM,MM,MM,MM
2019 04 11 10 48,70,7.2,9.3,MM,MM,MM,MM,1020.5,23.9,25.9,MM,MM,MM,MM
2019 04 11 10 54,70,8.8,9.8,MM,MM,MM,MM,1020.5,23.9,25.9,MM,MM,MM,MM
2019 04 11 11 00,70,6.7,8.2,MM,MM,MM,MM,1020.4,24,25.9,MM,MM,-1.1,MM
2019 04 11 11 06,80,6.7,9.8,MM,MM,MM,MM,1020.4,23.9,25.9,MM,MM,MM,MM
2019 04 11 11 12,70,6.2,8.2,MM,MM,MM,MM,1020.2,23.9,25.9,MM,MM,MM,MM
2019 04 11 11 18,80,6.2,8.8,MM,MM,MM,MM,1020,24,25.9,MM,MM,MM,MM
2019 04 11 11 24,70,6.7,8.2,MM,MM,MM,MM,1020,24,25.9,MM,MM,MM,MM
2019 04 11 11 30,70,6.7,9.3,MM,MM,MM,MM,1019.9,24,25.9,MM,MM,MM,MM
2019 04 11 11 36,70,8.2,9.3,MM,MM,MM,MM,1019.7,23.8,25.9,MM,MM,MM,MM
2019 04 11 11 42,70,8.2 1,4.9,MM,MM,MM,MM,1019.7,23.3,25.9,MM,MM,MM,MM
2019 04 11 11 48,70,8.2 1,0.3,MM,MM,MM,MM,1019.5,23.8,25.9,MM,MM,MM,MM
2019 04 11 11 54,70,8.2,9.8,MM,MM,MM,MM,1019.5,23.4,25.9,MM,MM,MM,MM
2019 04 11 12 00,80,5.7,9.8,MM,MM,MM,MM,1019.4,23.6,25.9,MM,MM,-2.1,MM
2019 04 11 12 06,80,6.7,9.8,MM,MM,MM,MM,1019.4,23.8,25.8,MM,MM,MM,MM
2019 04 11 12 12,80,6.2,9.8,MM,MM,MM,MM,1019.3,23.7,25.8,MM,MM,MM,MM
2019 04 11 12 18,70,7.7,9.8,MM,MM,MM,MM,1019.2,23.8,25.8,MM,MM,MM,MM
2019 04 11 12 24,80,5.7,8.8,MM,MM,MM,MM,1019.1,23.8,25.8,MM,MM,MM,MM
2019 04 11 12 30,70,7.2,9.3,MM,MM,MM,MM,1019.1,23.7,25.8,MM,MM,MM,MM
2019 04 11 12 36,70,6.2,9.8,MM,MM,MM,MM,1019,23.9,25.8,MM,MM,MM,MM
2019 04 11 12 42,80,6.2,8.8,MM,MM,MM,MM,1018.9,23.9,25.8,MM,MM,MM,MM
2019 04 11 12 48,70,7.2,8.8,MM,MM,MM,MM,1018.8,23.9,25.8,MM,MM,MM,MM
2019 04 11 12 54,70,7.2,9.8,MM,MM,MM,MM,1018.9,24,25.8,MM,MM,MM,MM
2019 04 11 13 00,70,7.2,8.8,MM,MM,MM,MM,1018.9,23.8,25.8,MM,MM,-2.1,MM
2019 04 11 13 06,80,4.6,8.2,MM,MM,MM,MM,1018.8,23.9,25.8,MM,MM,MM,MM
2019 04 11 13 12,70,7.2,9.3,MM,MM,MM,MM,1018.8,23.9,25.8,MM,MM,MM,MM
2019 04 11 13 18,80,7.2,9.3,MM,MM,MM,MM,1018.8,24.1,25.8,MM,MM,MM,MM
2019 04 11 13 24,80,7.2,9.8,MM,MM,MM,MM,1018.9,24,25.8,MM,MM,MM,MM
2019 04 11 13 30,70,7.7,9.3,MM,MM,MM,MM,1018.8,24,25.8,MM,MM,MM,MM
2019 04 11 13 36,70,8.2 1,0.3,MM,MM,MM,MM,1018.8,24.1,25.8,MM,MM,MM,MM
2019 04 11 13 42,70,7.2,9.3,MM,MM,MM,MM,1018.7,24,25.8,MM,MM,MM,MM
2019 04 11 13 48,70,9.3 1,1.3,MM,MM,MM,MM,1018.8,24,25.8,MM,MM,MM,MM
2019 04 11 13 54,70,8.2 1,1.8,MM,MM,MM,MM,1018.8,24.1,25.7,MM,MM,MM,MM
2019 04 11 14 00,70,7.2,9.3,MM,MM,MM,MM,1018.8,24,25.7,MM,MM,-1.6,MM
2019 04 11 14 06,70,7.7,9.3,MM,MM,MM,MM,1018.8,24,25.7,MM,MM,MM,MM
2019 04 11 14 12,70,7.7,9.8,MM,MM,MM,MM,1018.8,24,25.7,MM,MM,MM,MM
2019 04 11 14 18,80,7.2,9.3,MM,MM,MM,MM,1018.8,24.1,25.7,MM,MM,MM,MM
2019 04 11 14 24,70,6.7,8.8,MM,MM,MM,MM,1018.7,24,25.7,MM,MM,MM,MM
2019 04 11 14 30,70,6.7,9.8,MM,MM,MM,MM,1018.8,24.1,25.7,MM,MM,MM,MM
2019 04 11 14 36,70,4.1 1,0.8,MM,MM,MM,MM,1018.8,23,25.7,MM,MM,MM,MM
2019 04 11 14 42,90,3.6,6.7,MM,MM,MM,MM,1019,23.2,25.7,MM,MM,MM,MM
2019 04 11 14 48,80,3.1,4.6,MM,MM,MM,MM,1018.9,22.9,25.7,MM,MM,MM,MM
2019 04 11 14 54,80,6.7,8.8,MM,MM,MM,MM,1018.9,23.4,25.7,MM,MM,MM,MM
2019 04 11 15 00,70,8.2,9.8,MM,MM,MM,MM,1018.9,23.7,25.7,MM,MM,-0.5,MM
2019 04 11 15 06,70,8.2 1,0.8,MM,MM,MM,MM,1019,23.8,25.7,MM,MM,MM,MM
2019 04 11 15 12,80,7.7 1,1.3,MM,MM,MM,MM,1019,23.9,25.7,MM,MM,MM,MM
2019 04 11 15 18,80,7.7,9.8,MM,MM,MM,MM,1019,23.9,25.7,MM,MM,MM,MM
2019 04 11 15 24,80,7.7 1,0.8,MM,MM,MM,MM,1019.1,24,25.7,MM,MM,MM,MM
2019 04 11 15 30,80,7.7 1,0.3,MM,MM,MM,MM,1019.1,24.1,25.7,MM,MM,MM,MM
2019 04 11 15 36,70,7.7,9.8,MM,MM,MM,MM,1019.1,23.8,25.6,MM,MM,MM,MM
2019 04 11 15 42,80,7.2,9.8,MM,MM,MM,MM,1019.2,24,25.6,MM,MM,MM,MM
2019 04 11 15 48,80,6.7,9.8,MM,MM,MM,MM,1019.3,24,25.6,MM,MM,MM,MM
2019 04 11 15 54,80,8.2,9.8,MM,MM,MM,MM,1019.3,23.9,25.6,MM,MM,MM,MM
2019 04 11 16 00,80,8.2 1,0.3,MM,MM,MM,MM,1019.3,24,25.6,MM,MM,0.4,MM
2019 04 11 16 06,70,7.2,9.8,MM,MM,MM,MM,1019.4,23.9,25.6,MM,MM,MM,MM
2019 04 11 16 12,80,6.7 1,0.3,MM,MM,MM,MM,1019.4,23.8,25.6,MM,MM,MM,MM
2019 04 11 16 18,80,6.7,9.3,MM,MM,MM,MM,1019.5,23.9,25.6,MM,MM,MM,MM
2019 04 11 16 24,70,7.2,9.8,MM,MM,MM,MM,1019.6,24,25.6,MM,MM,MM,MM
2019 04 11 16 30,70,7.2,9.3,MM,MM,MM,MM,1019.7,23.9,25.6,MM,MM,MM,MM
2019 04 11 16 36,70,7.2,9.3,MM,MM,MM,MM,1019.8,23.9,25.5,MM,MM,MM,MM
2019 04 11 16 42,70,6.7,9.3,MM,MM,MM,MM,1019.8,23.9,25.5,MM,MM,MM,MM
2019 04 11 16 48,80,6.2,8.2,MM,MM,MM,MM,1019.8,24,25.5,MM,MM,MM,MM
2019 04 11 16 54,70,6.7,8.8,MM,MM,MM,MM,1019.9,24,25.5,MM,MM,MM,MM
2019 04 11 17 00,70,7.2,9.8,MM,MM,MM,MM,1019.9,23.8,25.5,MM,MM,1.1,MM
2019 04 11 17 06,60,7.2,9.8,MM,MM,MM,MM,1019.8,23.9,25.5,MM,MM,MM,MM
2019 04 11 17 12,70,7.2,9.8,MM,MM,MM,MM,1019.9,23.9,25.5,MM,MM,MM,MM
2019 04 11 17 18,70,7.7,9.3,MM,MM,MM,MM,1019.9,24.1,25.5,MM,MM,MM,MM
2019 04 11 17 24,60,6.7,9.3,MM,MM,MM,MM,1020,24.1,25.5,MM,MM,MM,MM
2019 04 11 17 30,70,6.2,9.3,MM,MM,MM,MM,1020,24.2,25.5,MM,MM,MM,MM
2019 04 11 17 36,80,5.7,9.8,MM,MM,MM,MM,1020.1,24.4,25.5,MM,MM,MM,MM
2019 04 11 17 42,80,6.2,8.8,MM,MM,MM,MM,1020.1,24.2,25.5,MM,MM,MM,MM
2019 04 11 17 48,80,4.6,6.7,MM,MM,MM,MM,1020.1,24.6,25.5,MM,MM,MM,MM
2019 04 11 17 54,70,6.7,9.8,MM,MM,MM,MM,1020,24.5,25.4,MM,MM,MM,MM
2019 04 11 18 00,70,6.7,8.8,MM,MM,MM,MM,1020.2,24.5,25.4,MM,MM,1.3,MM
2019 04 11 18 06,80,5.7,8.2,MM,MM,MM,MM,1020.3,24.3,25.4,MM,MM,MM,MM
2019 04 11 18 12,80,6.7,9.3,MM,MM,MM,MM,1020.3,24.2,25.4,MM,MM,MM,MM
2019 04 11 18 18,50,6.7,8.2,MM,MM,MM,MM,1020.3,24.2,25.4,MM,MM,MM,MM
2019 04 11 18 24,50,6.7,8.2,MM,MM,MM,MM,1020.5,24.2,25.4,MM,MM,MM,MM
2019 04 11 18 30,60,7.2,9.3,MM,MM,MM,MM,1020.7,24.1,25.4,MM,MM,MM,MM
2019 04 11 18 36,60,6.2,8.8,MM,MM,MM,MM,1020.5,24,25.4,MM,MM,MM,MM
2019 04 11 18 42,60,9.3 1,1.3,MM,MM,MM,MM,1020.5,24.2,25.4,MM,MM,MM,MM
2019 04 11 18 48,70,8.2 1,0.8,MM,MM,MM,MM,1020.7,23.9,25.4,MM,MM,MM,MM
2019 04 11 18 54,70,8.2 1,0.3,MM,MM,MM,MM,1020.8,24.1,25.4,MM,MM,MM,MM
2019 04 11 19 00,70,6.2,9.8,MM,MM,MM,MM,1021,24.1,25.4,MM,MM,1.7,MM
2019 04 11 19 06,60,5.1,7.2,MM,MM,MM,MM,1020.8,24.2,25.4,MM,MM,MM,MM
2019 04 11 19 12,50,4.6,7.2,MM,MM,MM,MM,1020.7,24.1,25.4,MM,MM,MM,MM
2019 04 11 19 18,70,7.7 1,0.8,MM,MM,MM,MM,1020.7,24.4,25.4,MM,MM,MM,MM
2019 04 11 19 24,50,8.2,9.8,MM,MM,MM,MM,1020.7,23.9,25.4,MM,MM,MM,MM
2019 04 11 19 30,60,7.7,9.8,MM,MM,MM,MM,1020.7,24,25.4,MM,MM,MM,MM
2019 04 11 19 36,50,6.7,9.8,MM,MM,MM,MM,1020.6,24,25.5,MM,MM,MM,MM
2019 04 11 19 42,50,6.2,8.8,MM,MM,MM,MM,1020.6,24.2,25.5,MM,MM,MM,MM
2019 04 11 19 48,50,6.2,8.2,MM,MM,MM,MM,1020.6,24.4,25.5,MM,MM,MM,MM
2019 04 11 19 54,60,8.8,9.3,MM,MM,MM,MM,1020.6,24.3,25.5,MM,MM,MM,MM
2019 04 11 20 00,70,7.7 1,0.8,MM,MM,MM,MM,1020.8,24.3,25.5,MM,MM,0.9,MM
2019 04 11 20 06,70,8.2 1,1.3,MM,MM,MM,MM,1020.8,24.4,25.5,MM,MM,MM,MM
2019 04 11 20 12,70,7.2 1,0.8,MM,MM,MM,MM,1020.8,24.7,25.5,MM,MM,MM,MM
2019 04 11 20 18,70,6.2,9.8,MM,MM,MM,MM,1020.8,24.6,25.5,MM,MM,MM,MM
2019 04 11 20 24,70,7.7 1,0.8,MM,MM,MM,MM,1020.8,24.6,25.5,MM,MM,MM,MM
2019 04 11 20 30,70,8.2 1,1.8,MM,MM,MM,MM,1020.7,24.7,25.5,MM,MM,MM,MM
2019 04 11 20 36,70,8.2 1,0.8,MM,MM,MM,MM,1020.8,24.7,25.5,MM,MM,MM,MM
2019 04 11 20 42,70,6.7,8.8,MM,MM,MM,MM,1020.7,24.8,25.6,MM,MM,MM,MM
2019 04 11 20 48,80,6.7 1,0.3,MM,MM,MM,MM,1020.7,24.6,25.6,MM,MM,MM,MM
2019 04 11 20 54,70,8.2,9.8,MM,MM,MM,MM,1020.6,24.8,25.6,MM,MM,MM,MM
2019 04 11 21 00,70,8.8 1,0.8,MM,MM,MM,MM,1020.6,24.9,25.6,MM,MM,0.4,MM
2019 04 11 21 06,70,8.2 1,0.3,MM,MM,MM,MM,1020.6,24.7,25.6,MM,MM,MM,MM
2019 04 11 21 12,70,7.2,9.8,MM,MM,MM,MM,1020.6,24.8,25.6,MM,MM,MM,MM
2019 04 11 21 18,90,4.1,8.8,MM,MM,MM,MM,1020.5,24.9,25.6,MM,MM,MM,MM
2019 04 11 21 24,90,5.1,8.2,MM,MM,MM,MM,1020.4,24.9,25.6,MM,MM,MM,MM
2019 04 11 21 30,90,7.2 1,1.3,MM,MM,MM,MM,1020.3,24.8,25.7,MM,MM,MM,MM
2019 04 11 21 36,80,7.7,9.8,MM,MM,MM,MM,1020.1,24.8,25.7,MM,MM,MM,MM
2019 04 11 21 42,90,6.7,9.8,MM,MM,MM,MM,1020.1,25,25.7,MM,MM,MM,MM
2019 04 11 21 48,90,7.2 1,1.3,MM,MM,MM,MM,1020,25,25.7,MM,MM,MM,MM
2019 04 11 21 54,90,6.2 1,2.4,MM,MM,MM,MM,1020,25.2,25.7,MM,MM,MM,MM
2019 04 11 22 00,90,5.7 1,0.8,MM,MM,MM,MM,1019.9,25.4,25.8,MM,MM,-1.1,MM
2019 04 11 22 06,80,8.2 1,1.8,MM,MM,MM,MM,1019.8,25.1,25.8,MM,MM,MM,MM
2019 04 11 22 12,80,8.8 1,3.9,MM,MM,MM,MM,1019.8,25.1,25.8,MM,MM,MM,MM
2019 04 11 22 18,90,9.3 1,3.4,MM,MM,MM,MM,1019.7,25,25.8,MM,MM,MM,MM
2019 04 11 22 24,90,6.7 1,2.9,MM,MM,MM,MM,1019.6,25.3,25.9,MM,MM,MM,MM
2019 04 11 22 30,100,5.7 1,0.3,MM,MM,MM,MM,1019.6,25.6,25.9,MM,MM,MM,MM
2019 04 11 22 36,80,6.7,9.3,MM,MM,MM,MM,1019.5,25,25.9,MM,MM,MM,MM
2019 04 11 22 42,90,6.2 1,1.8,MM,MM,MM,MM,1019.4,25.3,25.9,MM,MM,MM,MM
2019 04 11 22 48,90,6.2 1,0.3,MM,MM,MM,MM,1019.2,25.3,26,MM,MM,MM,MM
2019 04 11 22 54,90,6.2,9.3,MM,MM,MM,MM,1019.2,25.2,26,MM,MM,MM,MM
2019 04 11 23 00,90,5.1 1,0.3,MM,MM,MM,MM,1019.2,25.4,26,MM,MM,-1.6,MM
2019 04 11 23 06,90,6.2 1,0.8,MM,MM,MM,MM,1019.1,25.2,26.1,MM,MM,MM,MM
2019 04 11 23 12,100,4.6,7.7,MM,MM,MM,MM,1019.1,25.6,26.1,MM,MM,MM,MM
2019 04 11 23 18,90,5.1,8.8,MM,MM,MM,MM,1019.1,25.4,26.1,MM,MM,MM,MM
2019 04 11 23 24,90,5.1 1,1.3,MM,MM,MM,MM,1019,25,26.1,MM,MM,MM,MM
2019 04 11 23 30,90,5.7,9.8,MM,MM,MM,MM,1018.9,25.4,26.1,MM,MM,MM,MM
2019 04 11 23 36,90,6.2 1,0.8,MM,MM,MM,MM,1018.9,25.3,26.1,MM,MM,MM,MM
2019 04 11 23 42,100,6.2 1,2.4,MM,MM,MM,MM,1018.8,25.5,26.1,MM,MM,MM,MM
2019 04 11 23 48,100,5.7,9.3,MM,MM,MM,MM,1018.7,25.9,26.1,MM,MM,MM,MM
2019 04 11 23 54,100,4.6,7.2,MM,MM,MM,MM,1018.6,25.7,26.1,MM,MM,MM,MM
2019 04 12 00 00,70,6.7,9.3,MM,MM,MM,MM,1018.5,25.2,26.1,MM,MM,-2.1,MM
